Company,Shares,Value(in Crs),Frequency
SKF India,4540301,794.86,14
Future Retail,11134624,582.37,14
Eris Life,7343597,502.52,14
KNR Construct,16866321,484,14
Finolex Ind,6383028,417.42,14
Strides Shasun,5398036,373.02,14
Elgi Equipments,9358767,253.22,14
Endurance Techn,1609411,215.72,14
UPL,2870580,209.29,14
MCX India,2105500,164.26,14
Sadbhav Engg,3642523,142.61,14
West Coast Pap,5151879,127.42,14
WPIL,670549,36.61,14
GNA Axles,778020,34.38,14
Britannia,127,0.06,14
Suprajit Eng,1913,0.05,14
Alkem Lab,206,0.04,14
Manappuram Fin,2798,0.03,14
CARE,307,0.03,14
Page Industries,231926,514.26,13
Union Bank,40089959,402.14,13
L&T; Technology,1642320,228.91,13
LG Balakrishnan,2092058,225.04,13
Hind Zinc,5981859,190.93,13
Ramcoind,4457187,114.19,13
SREI Infra,8173272,65.65,13
Taj GVK Hotels,3722584,61.87,13
United Brewerie,457435,47.86,13
Jubilant Food,208495,45.97,13
Siemens,252414,29.49,13
Esab India,-,-,12
Balkrishna Ind,9251631,989.3,12
ICICI Bank,18126857,544.99,12
GRUH Finance,6751600,387.14,12
Muthoot Finance,7524398,303.85,12
Guj Flourochem,3763390,291.14,12
Colgate,2769650,290.24,12
Dhanuka Agritec,4771032,265.6,12
MRPL,22082603,263.31,12
VST Tillers,746116,193.74,12
Akzo Nobel,1072966,192.65,12
Zee Entertain,1900375,107.65,12
Triveni Engg,23611884,101.68,12
Shriram Trans,499062,68.97,12
JK Tyre & Ind,1240088,18.66,12
Camlin Fine,1437378,17.12,12
Agro Tech Foods,63935,4.08,12
Greaves Cotton,3521,0.04,12
JagranPrakashan,35760387,609.6,11
Escorts,5645879,477.82,11
IIFL Holdings,5894332,443.3,11
Shriram City,1953994,405.51,11
Force Motors,650844,193.25,11
Interglobe Avi,1330293,172.03,11
Alembic Pharma,1780824,97.81,11
Syngene Intl,-,-,10
APL Apollo,3389735,687.14,10
Capital First,8402680,542.95,10
Maruti Suzuki,468987,415.18,10
Sobha,7553112,404.74,10
Grasim,3212660,364.56,10
Future Life,8502784,340.16,10
Godrej Prop,4261656,319.8,10
Sheela Foam,2089523,313.58,10
Ratnamani Metal,3165214,286.47,10
Ent Network Ind,3665436,266.16,10
Blue Dart,612190,254.97,10
RamkrishnaForge,3444702,251.49,10
Navkar Corp,15692544,247.03,10
Hindalco,9456996,220.97,10
Astral Poly Tec,2135061,192.82,10
Shree Cements,86002,142.39,10
JK Lakshmi Cem,2886592,130.78,10
Ahluwalia,3127910,118.8,10
Relaxo Footwear,1710751,110.34,10
United Spirits,255800,79.96,10
Monsanto India,232388,58.36,10
Prabhat Dairy,3236493,50.6,10
Tata Metaliks,258845,19.5,10
Elantas Beck,88983,18.07,10
CL Educate,861850,17.28,10
Oriental Hotels,949396,4.88,10
Sun Pharma,428,0.02,10
Jyothy Labs,11408952,404.4,9
Canara Bank,10890956,325.22,9
Ceat,1976063,316.02,9
EIH,17721629,308.01,9
ICICI Prudentia,7454543,305.98,9
Torrent Power,9737251,256.73,9
PNB,25695822,247.41,9
CG Power ,27936256,233.28,9
PNB Housing Fin,1882125,229.43,9
Cadila Health,4588506,173.8,9
Gujarat Pipavav,8235937,117.91,9
Butterfly,1673134,86.04,9
Wonderla,-,-,8
Edelweiss,23418088,557.87,8
Bharat Forge,5784378,450.35,8
Thomas Cook,16216022,393.8,8
Ashok Leyland,26451348,378.64,8
Glenmark,6431190,341.96,8
Axis Bank,6381481,327.74,8
Welspun India,42840566,263.79,8
Jamna Auto,30722839,244.26,8
Tata Motors,6669587,233.36,8
Oberoi Realty,4449018,228.04,8
Satin Credit,5235917,223.32,8
Idea Cellular,27936192,217.64,8
GE T&D; India,5294924,215.37,8
Gulf Oil Lubric,2298946,215.1,8
Berger Paints,8318948,209.75,8
Hatsun Agro,2954276,204.86,8
Sanghi Ind,17017535,198.5,8
Reliance,2205493,195.2,8
Swaraj Engines,976472,194.91,8
Apar Ind,2521327,194.32,8
Avanti Feeds,747710,177.96,8
JB Chemicals,5692648,176.08,8
Laurus Labs,3467471,174.4,8
VRL Logistics,4309331,173.16,8
Dishman Carboge,5099184,171.46,8
Disa India,270586,169.42,8
Skipper,6582296,154.78,8
Kewal Kiran,926287,140.83,8
Transport Corp,5029059,137.57,8
Abbott India,237815,129.95,8
Aegis Logistics,5072374,128.12,8
UFO Moviez,3272546,122.57,8
Indoco Remedies,5023375,112.15,8
Godrej Agrovet,1623060,102.55,8
Kirloskar Ferro,7021018,61.47,8
CCL Products,2089808,60.74,8
Amber Enterpris,493140,52.96,8
BASF,46797,9.53,8
V-Mart Retail,47304,7.66,8
Bajaj Auto,20191,6.09,8
Merck,22369,3.54,8
Godfrey Phillip,27787,2.42,8
DB Corp,1064,0.03,8
Havells India,7955951,403.48,7
SIS,2879184,341.01,7
Varun Beverages,3670377,237.13,7
L&T; Finance,14419176,233.55,7
Godrej Ind,3118886,172.06,7
IRB Infra,7404506,169.26,7
Avenue Supermar,1171724,157.27,7
Biocon,2471141,149.69,7
GE Shipping,4298154,142.07,7
Graphite India,2015317,135.93,7
Dewan Housing,2455980,134.14,7
South Ind Bk,38249831,101.72,7
Pfizer,2243832,509.82,6
Info Edge,3547068,441.39,6
VST,1336892,392.14,6
Infosys,3114971,362.84,6
Lakshmi Machine,520939,354.49,6
GNFC,7997301,329.97,6
Guj Alkali,4119720,303.4,6
Chambal Fert,16925478,281.93,6
Chennai Petro,7401000,269.9,6
Symphony,1487096,266.45,6
Guj Heavy Chem,9413123,257.65,6
Bosch,133228,248.96,6
HUL,1857370,245.38,6
Future Supply,3699658,245.26,6
L&T; Infotech,1710186,233.02,6
LT Foods,24608258,210.62,6
BPCL,4625252,198.03,6
Tata Motors (D),10635632,195.34,6
Shankara Buildi,1090366,190.63,6
Voltamp Trans,1714329,188.3,6
Mah Seamless,4016250,184.54,6
Kirloskar Ind,1537096,182.85,6
Wockhardt,2191250,177.12,6
Dabur India,5176088,169.07,6
Triveni Turbine,13953679,160.99,6
Bajaj Electric,2902066,160.21,6
Kaveri Seed,3080090,152.03,6
TVS Srichakra,403975,147.77,6
Manpasand Bever,3936686,146.78,6
Lux Industries,805889,137.1,6
Nitin Spinners,12799626,134.34,6
Srikalahasthi,4048183,133.7,6
Shoppers Stop,2351410,126.76,6
Precision Camsh,11420982,123.55,6
Tech Mahindra,1861200,114.04,6
ITC,4306754,110.29,6
Larsen,828487,108.65,6
SBI,4122649,103.17,6
TV TodayNetwork,2054139,99.93,6
Orient Paper,23550502,95.41,6
IEX,552759,86.73,6
SpiceJet,6082974,83.98,6
J Kumar Infra,2752397,82.82,6
KPIT Tech,3744940,80.97,6
MAS Financial S,1348173,80,6
Igarashi Motors,975042,79.29,6
Oriental Carbon,612548,70.7,6
Sanghvi Movers,4004890,70.4,6
Advanced Enzyme,3196231,69.24,6
NCL Industries,2806283,61.5,6
Texmaco Rail,7332741,61.37,6
Parag Milk Food,2392911,61.36,6
Atul Auto,1265204,53.94,6
SML Isuzu,636430,51.58,6
Ashiana Housing,3341462,51.54,6
Pennar Eng,5115949,42.51,6
Bandhan Bank,801199,37.56,6
Orient Refract,2330391,37.33,6
Indo Count,3230178,27.92,6
Prestige Estate,606990,20.34,6
Trident,2740371,17.1,6
Rajapalayam,130246,15.3,6
PTC India Fin,18409,0.04,6
Adani Ports,660,0.02,6
Mindtree,2473920,197.25,5
TVS Motor,2276091,154.99,5
Rel Capital,2583616,122.01,5
NMDC,5826411,75.36,5
Jubilant Life,830367,70.09,5
JSW Energy,39465,0.29,5
Hexaware Tech,14906618,561.5,4
Greenlam Ind,2728081,328.02,4
Reliance Nippon,12973203,325.68,4
Asian Paints,2858000,319.46,4
Ambuja Cements,12239800,308.88,4
Delta Corp,9891878,278.7,4
GAIL,6280228,266.43,4
Siyaram Silk,3964713,240.51,4
Tata Steel,3547980,237.7,4
Nilkamal,1330304,213.97,4
Sharda Crop,5478226,209.64,4
Automotive Axle,1312859,198.58,4
NESCO,3318628,183.15,4
NLC India,18167384,178.14,4
HDFC Life,3825452,176.44,4
M&M;,2380350,174.48,4
eClerx Services,1449474,174.4,4
Fortis Health,10893144,174.08,4
RSWM,4933900,170,4
Suven Life Sci,8722763,161.35,4
GE Power India,1699189,155.74,4
Sterling Tools,3933104,153.9,4
Tejas Networks,4224770,153.65,4
Vedanta,4652639,150.07,4
Mayur Uniquoter,2913288,148.6,4
TeamLease Ser.,707024,146.28,4
GOCL Corp,2503064,142.18,4
Hero Motocorp,390556,140.46,4
Poddar Housing ,1139378,136.02,4
Nava Bharat Ven,8424382,131.68,4
HUDCO,19461036,129.22,4
Sun Pharma Adv,3027220,126.38,4
Apex Frozen,1973348,126.34,4
HT Media,14753409,124.24,4
IFB Industries,874729,123.2,4
Power Mech,1319673,120.48,4
NIIT,11899279,114.79,4
Majesco,2381835,114.71,4
Bajaj Corp,2273675,108.13,4
GIC Housing Fin,2781509,104.24,4
Essel Propack,4169349,100.25,4
S H Kelkar,3312014,92.32,4
Nath Bio-Genes,1920000,91.46,4
Bharti Airtel,2243139,89.43,4
Orient Cement,6232354,87.94,4
Kirloskar Bros,2770908,87.76,4
Allcargo,5176833,82.9,4
JK Bank,12244204,81.54,4
Deccan Cements,1399442,80.02,4
Firstsource Sol,15200000,78.22,4
Cipla,1392982,77.76,4
Polyplex Corp,1650353,77.69,4
Minda Corp,4143100,77.58,4
Birla Corp,1025430,76.48,4
Mirza Intl,5409436,74.22,4
Cera Sanitary,214994,74.05,4
DCM Shriram,1311766,68.95,4
Hikal,2936686,68.62,4
Magma Fincorp,4184446,66.13,4
Karnataka Bank,4860000,65.68,4
Genus Power,12263911,64.43,4
Mahanagar Gas,634852,62.2,4
Monte Carlo,1115458,59.38,4
Bodal Chemicals,4180664,57.1,4
IOC,3017895,53.22,4
AksharChem,817960,52.78,4
Action Const,2745716,51.62,4
Sagar Cement,485780,47.42,4
Motilal Oswal,407762,46.34,4
Indian Hume,1144662,45.64,4
Prataap Snacks ,306275,38.87,4
General Insuran,504148,36.34,4
Tata Coffee,3004973,34.02,4
Gujarat Gas,380000,33.06,4
TTK Prestige,51599,31.94,4
AB Capital,2078762,31.65,4
Garware Wall,312948,28.98,4
NBCC (India),1494622,28.92,4
Indian Metals,480000,28.14,4
Jain Irrigation,2208468,25.82,4
JMC Projects,457016,25.71,4
Ultramarine,111870,3.72,4
HCL Tech,294,0.03,4
SAIL,23250786,193.46,3
Aster DM Health,10275174,177.87,3
Pidilite Ind,1524587,137.35,3
Power Finance,9526761,100.12,3
Ajanta Pharma,580669,81.64,3
Amrutanjan Heal,1117950,64.05,3
Oil India,2606574,56.47,3
Ramco System,1110000,51.09,3
Oracle Fin Serv,90661,35.74,3
Apollo Micro Sy,1092000,33.15,3
Galaxy Surfact,195000,31.98,3
LIC Housing Fin,510000,25.89,3
Indiabulls Real,1108208,23.86,3
IDFC Bank,2540300,13.08,3
Tata Comm,27124,1.74,3
Dish TV,226441,1.66,3
Hind Dorr-Olive,2723928,1.38,3
Adani Enterpris,66197,1.35,3
Gillette India,897050,596.68,2
Dilip Buildcon,3625881,363.78,2
ICRA,919090,353.34,2
GlaxoSmithKline,1363180,325,2
Jet Airways,3822066,285.16,2
HEG,796512,225.22,2
Titan Company,2327526,189.96,2
Balrampur Chini,14505130,173.7,2
Music Broadcast,4036437,160.3,2
NOCIL,7702356,149.7,2
Zydus Wellness,1171980,138,2
Dr Lal PathLab,1527171,133.58,2
DFM Foods,733396,125.7,2
CDSL,3801200,121.42,2
GSFC,9426000,120.8,2
Syndicate Bank,18434400,112.64,2
Vindhya Telelin,1064351,111.72,2
JSW Steel,3548000,110.76,2
Coffee Day,3500976,109.94,2
EID Parry,3461900,109.58,2
Supreme Petro,2824246,102.26,2
Emami Paper,5125200,101.4,2
Jindal Saw,6630000,91.72,2
La Opala RG,1368480,88.84,2
FDC,3510912,87.4,2
Savita Oil Tech,567000,85.1,2
Bajaj Holdings,322621,84.65,2
Honda Siel,597609,80.18,2
Radico Khaitan,2274643,75.58,2
Kirloskar Pneum,828294,74.08,2
Lupin,898252,73.66,2
Wim Plast,618322,71.74,2
Dr Reddys Labs,315972,65.74,2
Unichem Labs,1974038,65.42,2
Sudarshan Chem,1523800,64.76,2
Asahi India,1825482,64.5,2
HBL Power,11600000,64.32,2
BSE Limited,800000,63.9,2
Intellect Desig,3856375,63.75,2
Balaji Amines,966444,62.08,2
8K Miles Soft,920197,61.76,2
Reliance Home F,8768000,61.5,2
HG Infra Engg,2033850,61.12,2
Ashapura Intima,1302460,58.74,2
Steel Str Wheel,574926,58.6,2
Indiabulls,439000,55.06,2
Phoenix Mills,911139,53.89,2
Bharat Bijlee,322944,52.84,2
Rico Auto,6146146,49.84,2
FIEM Ind,565474,49.66,2
Marico,1600000,49.3,2
ACC,298800,48.5,2
Banco Products,2284816,48.38,2
Aarti Drugs,942571,47.75,2
Deepak Fert,1362702,46.36,2
Pennar Inds,8937633,45.49,2
Newgen Software,1860060,45.3,2
S P Apparels,1365813,45.21,2
IFGL Refractory,1555994,44.2,2
Lumax Auto Tech,522484,43.3,2
Jindal (Hisar),2486328,39.14,2
Alembic,7115158,37.93,2
Eicher Motors,13566,37.22,2
Sonata,1146366,36.82,2
GTPL Hathway,2030000,33.52,2
Shree Pushkar,1617062,32.86,2
Pricol,3317348,32.1,2
Thangamayil,650343,31.54,2
KCP,2372287,30.89,2
Hinduja Global,380876,30.89,2
OCL India,244508,29.76,2
Vardhman Steels,1944238,28.02,2
Kalyani Steels,902717,26.74,2
Tata Inv Corp,360395,26.66,2
MOIL,1200000,26.56,2
Nestle,34200,26.54,2
Kaya,251973,26.32,2
AstraZeneca,283402,26.29,2
Mangalam Cement,810886,26.05,2
Pilani Invest,101397,25.61,2
Hind Constr,11248924,24.98,2
Sequent Scienti,3064826,23.64,2
Phillips Carbon,191852,23.02,2
Zuari Agro Chem,425204,22.36,2
Insecticides,280230,21.28,2
Himadri Special,1303588,20.9,2
Kridhan Infra,1720000,19.96,2
Fairchem Spec,528535,19.92,2
Federal-Mogul,400000,19.86,2
Gufic Bio,1808182,19.57,2
Future Consumer,3465815,18.99,2
Ganesha Ecosph,529275,17.91,2
South West Pinn,2054400,17.64,2
Arihant Super,1247350,17.32,2
Coal India,599455,16.99,2
Sarla Performan,2933560,16.88,2
CMI,657996,16.7,2
One Point One S,1884000,16.42,2
Rajratan Global,305133,15.9,2
Shemaroo Ent,300000,15.48,2
Sutlej Textiles,1880900,15.32,2
Visaka Ind,220000,15.14,2
Lovable Lingeri,869677,15.12,2
ONGC,806477,14.33,2
Geojit Fin,1394062,12.73,2
Control Print,252220,11.72,2
HOEC,1027955,11.35,2
D-Link India,1333612,10.87,2
Zee Media,2535212,10.7,2
Sadbhav Infra,789115,10.46,2
TIL,194394,9.88,2
Goodyear,77910,9.28,2
V2 Retail,211000,9.06,2
Dwarikesh Sugar,3523451,8.91,2
Royal Orchid,447428,8.8,2
KSK Energy Vent,7745628,8.52,2
Hind Copper,1152500,8.42,2
Gravita India,499448,7.76,2
Gammon Infra,23659304,7.1,2
Good Luck,700000,7.02,2
IDFC,1312759,6.4,2
IG Petro,80000,5.56,2
SQS India BFSI,106000,5.42,2
Schneider Infra,350000,3.86,2
Career Point,355389,3.82,2
HDFC,20000,3.62,2
Caplin Labs,56260,3.32,2
Sintex Plastics,500000,3.28,2
Tata Power,320000,2.7,2
Summit Sec,30436,2.4,2
Power Grid Corp,100000,1.98,2
TV18 Broadcast,300000,1.88,2
CCCL,1851549,0.72,2
Rajesh Exports,4049,0.34,1
Vakrangee,18309,0.3,1
DLF,13297,0.3,1
Reliance Infra,4077,0.19,1
NHPC,64232,0.18,1
Suzlon Energy,98333,0.13,1
Infibeam Incorp,7929,0.13,1
IDBI Bank,15756,0.12,1
Reliance Comm,30507,0.09,1
Adani Power,28747,0.09,1
Reliance Power,20908,0.09,1
Bank of India,8123,0.09,1
